"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","StateCode","StateName","AirportCode","CompetitionOpenDate","Promo2StartDate"
"235",235,"a","a",30,11,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-11-01,NA
"236",236,"a","a",540,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-04-04
"237",237,"a","c",250,NA,NA,1,5,2013,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2013-02-04
"238",238,"a","a",3350,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"239",239,"a","a",110,12,2007,0,NA,NA,"","BEHBHHNISH","","HAM",2007-12-01,NA
"240",240,"b","a",1180,5,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-05-01,NA
"241",241,"d","c",9910,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"242",242,"d","c",1680,10,2005,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2005-10-01,NA
"243",243,"d","a",8670,2,2002,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2002-02-01,2011-04-04
"244",244,"a","c",2270,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH","","HAM",NA,2012-08-27
"245",245,"a","a",1640,2,2013,0,NA,NA,"","NWRP","","DUS",2013-02-01,NA
"246",246,"d","c",22560,NA,NA,1,14,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2013-04-08
"247",247,"d","c",1460,4,2014,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2014-04-01,2013-08-05
"248",248,"a","a",840,9,2006,0,NA,NA,"","SN","Saxony","DRS",2006-09-01,NA
"249",249,"d","a",260,NA,NA,1,44,2010,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2010-11-01
"250",250,"c","a",3150,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"251",251,"d","a",5070,11,2007,1,18,2015,"Feb,May,Aug,Nov","NWRP","","DUS",2007-11-01,2015-05-04
"252",252,"d","a",2960,12,2014,1,23,2015,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",2014-12-01,2015-06-08
"253",253,"a","a",20640,9,2007,0,NA,NA,"","BY","Bavaria","MUC",2007-09-01,NA
"254",254,"a","c",4820,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"255",255,"a","a",120,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-05-28
"256",256,"a","c",26490,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2014-03-10
"257",257,"a","a",370,7,2012,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2012-07-01,2011-04-04
"258",258,"a","a",27650,8,2004,0,NA,NA,"","SN","Saxony","DRS",2004-08-01,NA
"259",259,"b","a",1870,10,2011,0,NA,NA,"","BEHBHHNISH","","HAM",2011-10-01,NA
"260",260,"d","a",770,7,2010,1,35,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2010-07-01,2010-08-30
"261",261,"a","a",6870,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"262",262,"a","c",1090,7,2010,1,1,2013,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2010-07-01,2013-01-07
"263",263,"d","a",1560,1,2014,1,10,2013,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",2014-01-01,2013-03-11
"264",264,"d","c",2780,6,2015,0,NA,NA,"","BEHBHHNISH","","HAM",2015-06-01,NA
"265",265,"a","c",360,3,2014,1,9,2011,"Mar,Jun,Sept,Dec","SN","Saxony","DRS",2014-03-01,2011-02-28
"266",266,"a","a",960,5,2008,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2008-05-01,2010-03-29
"267",267,"a","a",3720,4,2005,1,13,2010,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2005-04-01,2010-03-29
"268",268,"a","a",380,5,2011,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2011-05-01,2014-10-06
"269",269,"d","a",5470,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",NA,2009-09-14
"270",270,"a","a",16990,4,2004,0,NA,NA,"","SN","Saxony","DRS",2004-04-01,NA
"271",271,"a","a",2260,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"272",272,"a","c",23130,NA,NA,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",NA,NA
"273",273,"a","a",650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct","NWRP","","DUS",2013-11-01,2009-09-14
"274",274,"d","c",1870,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"275",275,"d","c",1090,8,2009,1,10,2014,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2009-08-01,2014-03-10
"276",276,"a","a",1370,12,2011,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2011-12-01,2014-10-06
"277",277,"d","a",1290,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2014-10-06
"278",278,"a","a",70,11,2004,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",2004-11-01,2011-04-04
"279",279,"d","c",13140,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2013-08-05
"280",280,"a","c",420,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"281",281,"a","a",620,10,2014,1,18,2014,"Feb,May,Aug,Nov","NWRP","","DUS",2014-10-01,2014-05-05
"282",282,"a","a",140,9,2005,0,NA,NA,"","NWRP","","DUS",2005-09-01,NA
"283",283,"a","c",19780,6,2008,0,NA,NA,"","BW","Baden-Wurttemberg","STR",2008-06-01,NA
"284",284,"d","c",1340,10,2006,1,5,2013,"Feb,May,Aug,Nov","HE","Hesse","FRA",2006-10-01,2013-02-04
"285",285,"a","a",1060,5,2009,1,27,2011,"Feb,May,Aug,Nov","NWRP","","DUS",2009-05-01,2011-07-04
"286",286,"a","c",22350,6,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-06-01,NA
"287",287,"a","a",16760,9,2011,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2011-09-01,NA
"288",288,"d","c",580,11,2014,0,NA,NA,"","BEHBHHNISH","","HAM",2014-11-01,NA
"289",289,"a","c",9990,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"290",290,"d","c",5350,NA,NA,1,22,2012,"Mar,Jun,Sept,Dec","HE","Hesse","FRA",NA,2012-05-28
"291",291,"c","c",1990,1,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-01-01,NA
"292",292,"a","c",3240,NA,NA,1,22,2011,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2011-05-30
"293",293,"d","c",3270,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-05-28
"294",294,"d","c",1180,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2013-08-05
"295",295,"d","c",810,NA,NA,1,48,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-11-26
"296",296,"a","a",2820,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"297",297,"a","a",320,12,2005,1,9,2011,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2005-12-01,2011-02-28
"298",298,"a","a",2370,3,2011,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2011-03-01,2014-10-06
"299",299,"d","c",970,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",NA,2011-02-28
"300",300,"a","c",220,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2014-03-10
"301",301,"a","a",16490,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-05-28
"302",302,"a","a",3210,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"303",303,"d","c",5010,NA,NA,1,5,2013,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",NA,2013-02-04
"304",304,"c","a",3250,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-10-03
"305",305,"d","c",38630,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"306",306,"a","a",2220,12,2011,1,14,2015,"Jan,Apr,Jul,Oct","NWRP","","DUS",2011-12-01,2015-04-06
"307",307,"a","a",1800,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2006-11-01,2013-02-04
"308",308,"a","c",18370,2,2013,1,14,2011,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2013-02-01,2011-04-04
"309",309,"d","c",2870,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"310",310,"a","a",560,10,2014,1,10,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",2014-10-01,2014-03-10
"311",311,"a","a",16690,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-04-04
"312",312,"d","a",8250,10,2000,1,31,2009,"Jan,Apr,Jul,Oct","NWRP","","DUS",2000-10-01,2009-08-03
"313",313,"c","c",5000,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"314",314,"c","a",700,4,2009,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2009-04-01,2011-04-04
"315",315,"a","c",3560,9,2013,1,36,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2013-09-01,2013-09-09
"316",316,"a","c",1130,NA,NA,1,10,2014,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2014-03-10
"317",317,"a","c",19360,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"318",318,"d","a",5760,7,2014,0,NA,NA,"","NWRP","","DUS",2014-07-01,NA
"319",319,"a","c",2950,10,2004,0,NA,NA,"","NWRP","","DUS",2004-10-01,NA
"320",320,"d","c",2190,12,2007,1,9,2011,"Mar,Jun,Sept,Dec","HE","Hesse","FRA",2007-12-01,2011-02-28
"321",321,"a","c",14600,4,2015,0,NA,NA,"","HE","Hesse","FRA",2015-04-01,NA
"322",322,"d","c",3290,12,2014,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2014-12-01,NA
"323",323,"a","c",33060,3,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-03-01,NA
"324",324,"a","c",50,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-10-03
"325",325,"d","c",2320,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-10-01
"326",326,"a","a",7240,2,2010,0,NA,NA,"","NWRP","","DUS",2010-02-01,NA
"327",327,"c","c",3330,10,2001,1,14,2011,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2001-10-01,2011-04-04
"328",328,"c","c",3210,6,2009,0,NA,NA,"","SN","Saxony","DRS",2009-06-01,NA
"329",329,"a","c",170,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"330",330,"c","a",4130,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"331",331,"a","a",2170,11,2008,0,NA,NA,"","BEHBHHNISH","","HAM",2008-11-01,NA
"332",332,"c","a",1620,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"333",333,"a","c",16490,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"334",334,"d","a",2810,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",NA,2014-03-10
"335",335,"a","a",1250,2,2004,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2004-02-01,2013-02-04
"336",336,"a","c",1310,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"337",337,"a","a",2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2004-07-01,2014-10-06
"338",338,"a","a",50,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"339",339,"c","c",3530,6,2012,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH","","HAM",2012-06-01,2012-08-27
"340",340,"d","c",11840,NA,NA,1,31,2009,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2009-08-03
"341",341,"d","c",4520,9,2010,1,31,2013,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",2010-09-01,2013-08-05
"342",342,"d","a",6880,9,2001,1,14,2011,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2001-09-01,2011-04-04
"343",343,"a","c",1070,8,2010,0,NA,NA,"","NWRP","","DUS",2010-08-01,NA
"344",344,"d","a",1740,6,2014,1,45,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",2014-06-01,2009-11-09
"345",345,"a","a",520,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"346",346,"d","a",2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2014-12-01,2009-09-14
"347",347,"a","c",5080,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2013-08-05
"348",348,"a","c",8090,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"349",349,"d","c",11540,NA,NA,1,5,2013,"Feb,May,Aug,Nov","HE","Hesse","FRA",NA,2013-02-04
"350",350,"d","a",3910,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2006-11-01,2013-02-04
"351",351,"c","c",900,9,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-09-01,NA
"352",352,"d","a",2300,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"353",353,"d","c",610,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"354",354,"c","a",60,4,2006,0,NA,NA,"","BEHBHHNISH","","HAM",2006-04-01,NA
"355",355,"a","a",1070,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"356",356,"a","a",1790,5,2011,0,NA,NA,"","BEHBHHNISH","","HAM",2011-05-01,NA
"357",357,"a","a",150,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2013-08-05
"358",358,"a","a",60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2005-01-01,2011-01-31
"359",359,"a","c",640,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",NA,2011-02-28
"360",360,"d","c",710,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-10-03
"361",361,"d","c",2640,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"362",362,"d","c",17410,4,2007,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2007-04-01,2011-04-04
"363",363,"a","a",27530,4,2014,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2014-04-01,NA
"364",364,"c","a",50,11,2006,0,NA,NA,"","BEHBHHNISH","","HAM",2006-11-01,NA
"365",365,"a","a",8780,2,2005,1,37,2009,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2005-02-01,2009-09-14
"366",366,"d","c",5440,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2014-10-06
"367",367,"d","c",960,11,2012,1,5,2013,"Feb,May,Aug,Nov","NWRP","","DUS",2012-11-01,2013-02-04
"368",368,"d","c",1360,8,2005,1,10,2014,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2005-08-01,2014-03-10
"369",369,"a","a",2060,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2009-11-09
"370",370,"c","c",80,1,2006,1,10,2014,"Jan,Apr,Jul,Oct","NWRP","","DUS",2006-01-01,2014-03-10
"371",371,"a","a",250,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"372",372,"a","a",2640,11,2002,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2002-11-01,NA
"373",373,"d","a",1120,5,2007,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2007-05-01,2013-08-05
"374",374,"d","c",3030,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2009-09-14
"375",375,"d","c",270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2013-02-01,2012-10-01
"376",376,"a","c",250,10,2008,0,NA,NA,"","NWRP","","DUS",2008-10-01,NA
"377",377,"d","c",330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2006-09-01,2011-04-04
"378",378,"a","a",250,12,2001,1,13,2010,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2001-12-01,2010-03-29
"379",379,"d","c",9430,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"380",380,"c","a",40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec","NWRP","","DUS",2011-11-01,2012-05-28
"381",381,"a","a",220,NA,NA,1,36,2013,"Mar,Jun,Sept,Dec","NWRP","","DUS",NA,2013-09-09
"382",382,"d","c",12870,10,2008,0,NA,NA,"","BY","Bavaria","MUC",2008-10-01,NA
"383",383,"c","c",5980,2,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-02-01,NA
"384",384,"d","a",12700,4,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-04-01,NA
"385",385,"a","c",160,7,2007,0,NA,NA,"","NWRP","","DUS",2007-07-01,NA
"386",386,"a","a",2120,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"387",387,"a","a",90,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BW","Baden-Wurttemberg","STR",NA,2009-11-09
"388",388,"a","a",50,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"389",389,"a","a",3570,4,2007,0,NA,NA,"","NWRP","","DUS",2007-04-01,NA
"390",390,"c","a",19640,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",NA,2011-04-04
"391",391,"a","a",1780,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"392",392,"a","c",26990,12,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-12-01,NA
"393",393,"b","a",150,9,2006,0,NA,NA,"","BEHBHHNISH","","HAM",2006-09-01,NA
"394",394,"a","a",1460,4,2015,0,NA,NA,"","BBMVTH","","TXL ",2015-04-01,NA
"395",395,"a","a",18160,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"396",396,"a","a",570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct","BBMVTH","","TXL ",2007-11-01,2010-03-29
"397",397,"d","a",2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2009-05-01,2014-10-06
"398",398,"d","c",4060,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"399",399,"c","a",2240,9,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-09-01,NA
"400",400,"a","c",9630,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2011-04-04
"401",401,"a","a",1000,11,2007,0,NA,NA,"","BEHBHHNISH","","HAM",2007-11-01,NA
"402",402,"c","a",940,4,2004,1,14,2011,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2004-04-01,2011-04-04
"403",403,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2006-12-01,2011-04-04
"404",404,"a","c",120,4,2009,1,1,2012,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2009-04-01,2012-01-02
"405",405,"a","c",340,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"406",406,"c","a",1190,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"407",407,"d","c",1420,11,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-11-01,NA
"408",408,"d","a",730,8,2007,0,NA,NA,"","HE","Hesse","FRA",2007-08-01,NA
"409",409,"a","a",2720,9,2012,0,NA,NA,"","SN","Saxony","DRS",2012-09-01,NA
"410",410,"d","c",8240,3,2001,1,10,2013,"Feb,May,Aug,Nov","NWRP","","DUS",2001-03-01,2013-03-11
"411",411,"a","c",3970,9,2009,0,NA,NA,"","NWRP","","DUS",2009-09-01,NA
"412",412,"c","a",240,4,2015,1,13,2010,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",2015-04-01,2010-03-29
"413",413,"c","c",2510,8,2009,1,1,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",2009-08-01,2012-01-02
"414",414,"d","a",1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2009-09-01,2009-11-09
"415",415,"d","c",11120,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",NA,2012-05-28
"416",416,"d","a",1710,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"417",417,"c","c",3100,5,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-05-01,NA
"418",418,"a","c",23620,11,2013,0,NA,NA,"","SN","Saxony","DRS",2013-11-01,NA
"419",419,"a","a",290,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST","Saxony-Anhalt","LEJ",2006-11-01,2013-02-04
"420",420,"a","a",16680,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",NA,2009-09-14
"421",421,"d","c",16350,7,2005,1,31,2013,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2005-07-01,2013-08-05
"422",422,"a","a",230,7,2004,1,10,2014,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",2004-07-01,2014-03-10
"423",423,"a","c",250,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH","","HAM",NA,2012-08-27
"424",424,"a","c",15710,2,2013,1,37,2009,"Jan,Apr,Jul,Oct","ST","Saxony-Anhalt","LEJ",2013-02-01,2009-09-14
"425",425,"d","a",5070,NA,NA,1,45,2009,"Feb,May,Aug,Nov","HE","Hesse","FRA",NA,2009-11-09
"426",426,"d","a",24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec","BY","Bavaria","MUC",2011-10-01,2014-03-10
"427",427,"a","c",2180,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"428",428,"d","c",2140,7,2013,0,NA,NA,"","HE","Hesse","FRA",2013-07-01,NA
"429",429,"a","c",20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP","","DUS",NA,2009-09-14
"430",430,"c","c",31830,3,2010,0,NA,NA,"","BEHBHHNISH","","HAM",2010-03-01,NA
"431",431,"a","a",4140,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"432",432,"a","c",1510,9,2013,0,NA,NA,"","BEHBHHNISH","","HAM",2013-09-01,NA
"433",433,"a","a",870,3,2006,0,NA,NA,"","BEHBHHNISH","","HAM",2006-03-01,NA
"434",434,"d","a",4400,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"435",435,"a","a",17650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct","SN","Saxony","DRS",2013-11-01,2009-09-14
"436",436,"a","a",2910,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY","Bavaria","MUC",NA,2009-11-09
"437",437,"a","a",34050,4,2008,0,NA,NA,"","ST","Saxony-Anhalt","LEJ",2008-04-01,NA
"438",438,"c","c",8980,6,2011,0,NA,NA,"","NWRP","","DUS",2011-06-01,NA
"439",439,"a","a",120,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"440",440,"d","c",1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",2013-07-01,2013-10-07
"441",441,"c","c",10740,11,2013,0,NA,NA,"","SN","Saxony","DRS",2013-11-01,NA
"442",442,"a","a",1010,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"443",443,"a","c",430,NA,NA,0,NA,NA,"","BEHBHHNISH","","HAM",NA,NA
"444",444,"a","a",180,NA,NA,1,45,2009,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2009-11-09
"445",445,"a","a",1900,6,2014,1,31,2013,"Jan,Apr,Jul,Oct","NWRP","","DUS",2014-06-01,2013-08-05
"446",446,"a","a",2480,7,1990,0,NA,NA,"","NWRP","","DUS",1990-07-01,NA
"447",447,"b","b",1430,NA,NA,0,NA,NA,"","BW","Baden-Wurttemberg","STR",NA,NA
"448",448,"a","c",4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct","NWRP","","DUS",2000-03-01,2011-10-03
"449",449,"a","c",70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec","NWRP","","DUS",1990-06-01,2012-05-28
"450",450,"a","c",340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",2012-09-01,2012-10-01
"451",451,"d","c",680,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-05-28
"452",452,"a","c",300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct","BEHBHHNISH","","HAM",2011-04-01,2011-04-04
"453",453,"c","a",110,11,2008,0,NA,NA,"","SN","Saxony","DRS",2008-11-01,NA
"454",454,"a","c",360,NA,NA,1,18,2013,"Feb,May,Aug,Nov","HE","Hesse","FRA",NA,2013-05-06
"455",455,"a","a",200,NA,NA,0,NA,NA,"","HE","Hesse","FRA",NA,NA
"456",456,"a","a",460,11,2014,1,31,2013,"Feb,May,Aug,Nov","NWRP","","DUS",2014-11-01,2013-08-05
"457",457,"a","a",2240,5,2013,1,10,2014,"Mar,Jun,Sept,Dec","NWRP","","DUS",2013-05-01,2014-03-10
"458",458,"a","c",3170,4,2014,0,NA,NA,"","BEHBHHNISH","","HAM",2014-04-01,NA
"459",459,"d","a",710,3,2012,1,1,2012,"Jan,Apr,Jul,Oct","NWRP","","DUS",2012-03-01,2012-01-02
"460",460,"a","c",140,NA,NA,0,NA,NA,"","NWRP","","DUS",NA,NA
"461",461,"d","a",4060,8,2005,0,NA,NA,"","NWRP","","DUS",2005-08-01,NA
"462",462,"d","c",5350,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct","BY","Bavaria","MUC",NA,2012-10-01
"463",463,"a","c",600,11,1999,1,10,2013,"Jan,Apr,Jul,Oct","BW","Baden-Wurttemberg","STR",1999-11-01,2013-03-11
"464",464,"a","a",390,6,2009,0,NA,NA,"","BEHBHHNISH","","HAM",2009-06-01,NA
"465",465,"a","a",16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct","HE","Hesse","FRA",2003-07-01,2011-04-04
"466",466,"d","c",22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov","NWRP","","DUS",NA,2010-02-01
"467",467,"c","c",140,9,2012,0,NA,NA,"","BEHBHHNISH","","HAM",2012-09-01,NA
"468",468,"d","a",20930,NA,NA,0,NA,NA,"","SN","Saxony","DRS",NA,NA
"469",469,"d","c",3840,10,2008,1,39,2010,"Feb,May,Aug,Nov","BY","Bavaria","MUC",2008-10-01,2010-09-27
