"","Store","StoreType","Assortment","CompetitionDistance","CompetitionOpenSinceMonth","CompetitionOpenSinceYear","Promo2","Promo2SinceWeek","Promo2SinceYear","PromoInterval","State"
"335",335,"a","a",1250,2,2004,1,5,2013,"Feb,May,Aug,Nov","ST"
"336",336,"a","c",1310,NA,NA,0,NA,NA,"","HE"
"337",337,"a","a",2380,7,2004,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"338",338,"a","a",50,NA,NA,0,NA,NA,"","BEHBHHNISH"
"339",339,"c","c",3530,6,2012,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"340",340,"d","c",11840,NA,NA,1,31,2009,"Feb,May,Aug,Nov","NWRP"
"341",341,"d","c",4520,9,2010,1,31,2013,"Jan,Apr,Jul,Oct","BW"
"342",342,"d","a",6880,9,2001,1,14,2011,"Jan,Apr,Jul,Oct","HE"
"343",343,"a","c",1070,8,2010,0,NA,NA,"","NWRP"
"344",344,"d","a",1740,6,2014,1,45,2009,"Feb,May,Aug,Nov","BY"
"345",345,"a","a",520,NA,NA,0,NA,NA,"","BW"
"346",346,"d","a",2290,12,2014,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"347",347,"a","c",5080,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"348",348,"a","c",8090,NA,NA,0,NA,NA,"","NWRP"
"349",349,"d","c",11540,NA,NA,1,5,2013,"Feb,May,Aug,Nov","HE"
"350",350,"d","a",3910,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST"
"351",351,"c","c",900,9,2010,0,NA,NA,"","BEHBHHNISH"
"352",352,"d","a",2300,NA,NA,0,NA,NA,"","SN"
"353",353,"d","c",610,NA,NA,0,NA,NA,"","NWRP"
"354",354,"c","a",60,4,2006,0,NA,NA,"","BEHBHHNISH"
"355",355,"a","a",1070,9,2009,0,NA,NA,"","BEHBHHNISH"
"356",356,"a","a",1790,5,2011,0,NA,NA,"","BEHBHHNISH"
"357",357,"a","a",150,NA,NA,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"358",358,"a","a",60,1,2005,1,5,2011,"Jan,Apr,Jul,Oct","NWRP"
"359",359,"a","c",640,NA,NA,1,9,2011,"Mar,Jun,Sept,Dec","BY"
"360",360,"d","c",710,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"361",361,"d","c",2640,9,2012,0,NA,NA,"","BEHBHHNISH"
"362",362,"d","c",17410,4,2007,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"363",363,"a","a",27530,4,2014,0,NA,NA,"","ST"
"364",364,"c","a",50,11,2006,0,NA,NA,"","BEHBHHNISH"
"365",365,"a","a",8780,2,2005,1,37,2009,"Jan,Apr,Jul,Oct","SN"
"366",366,"d","c",5440,NA,NA,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"367",367,"d","c",960,11,2012,1,5,2013,"Feb,May,Aug,Nov","NWRP"
"368",368,"d","c",1360,8,2005,1,10,2014,"Jan,Apr,Jul,Oct","HE"
"369",369,"a","a",2060,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"370",370,"c","c",80,1,2006,1,10,2014,"Jan,Apr,Jul,Oct","NWRP"
"371",371,"a","a",250,NA,NA,0,NA,NA,"","NWRP"
"372",372,"a","a",2640,11,2002,0,NA,NA,"","ST"
"373",373,"d","a",1120,5,2007,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"374",374,"d","c",3030,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"375",375,"d","c",270,2,2013,1,40,2012,"Jan,Apr,Jul,Oct","ST"
"376",376,"a","c",250,10,2008,0,NA,NA,"","NWRP"
"377",377,"d","c",330,9,2006,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"378",378,"a","a",250,12,2001,1,13,2010,"Jan,Apr,Jul,Oct","SN"
"379",379,"d","c",9430,NA,NA,0,NA,NA,"","NWRP"
"380",380,"c","a",40,11,2011,1,22,2012,"Mar,Jun,Sept,Dec","NWRP"
"381",381,"a","a",220,NA,NA,1,36,2013,"Mar,Jun,Sept,Dec","NWRP"
"382",382,"d","c",12870,10,2008,0,NA,NA,"","BY"
"383",383,"c","c",5980,2,2010,0,NA,NA,"","BEHBHHNISH"
"384",384,"d","a",12700,4,2013,0,NA,NA,"","BEHBHHNISH"
"385",385,"a","c",160,7,2007,0,NA,NA,"","NWRP"
"386",386,"a","a",2120,NA,NA,0,NA,NA,"","NWRP"
"387",387,"a","a",90,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BW"
"388",388,"a","a",50,NA,NA,0,NA,NA,"","NWRP"
"389",389,"a","a",3570,4,2007,0,NA,NA,"","NWRP"
"390",390,"c","a",19640,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BBMVTH"
"391",391,"a","a",1780,NA,NA,0,NA,NA,"","NWRP"
"392",392,"a","c",26990,12,2013,0,NA,NA,"","BEHBHHNISH"
"393",393,"b","a",150,9,2006,0,NA,NA,"","BEHBHHNISH"
"394",394,"a","a",1460,4,2015,0,NA,NA,"","BBMVTH"
"395",395,"a","a",18160,NA,NA,0,NA,NA,"","SN"
"396",396,"a","a",570,11,2007,1,13,2010,"Jan,Apr,Jul,Oct","BBMVTH"
"397",397,"d","a",2340,5,2009,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"398",398,"d","c",4060,9,2012,0,NA,NA,"","BEHBHHNISH"
"399",399,"c","a",2240,9,2009,0,NA,NA,"","BEHBHHNISH"
"400",400,"a","c",9630,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"401",401,"a","a",1000,11,2007,0,NA,NA,"","BEHBHHNISH"
"402",402,"c","a",940,4,2004,1,14,2011,"Jan,Apr,Jul,Oct","HE"
"403",403,"a","a",14130,12,2006,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"404",404,"a","c",120,4,2009,1,1,2012,"Jan,Apr,Jul,Oct","HE"
"405",405,"a","c",340,NA,NA,0,NA,NA,"","NWRP"
"406",406,"c","a",1190,9,2013,0,NA,NA,"","BEHBHHNISH"
"407",407,"d","c",1420,11,2012,0,NA,NA,"","BEHBHHNISH"
"408",408,"d","a",730,8,2007,0,NA,NA,"","HE"
"409",409,"a","a",2720,9,2012,0,NA,NA,"","SN"
"410",410,"d","c",8240,3,2001,1,10,2013,"Feb,May,Aug,Nov","NWRP"
"411",411,"a","c",3970,9,2009,0,NA,NA,"","NWRP"
"412",412,"c","a",240,4,2015,1,13,2010,"Jan,Apr,Jul,Oct","BW"
"413",413,"c","c",2510,8,2009,1,1,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"414",414,"d","a",1200,9,2009,1,45,2009,"Jan,Apr,Jul,Oct","BY"
"415",415,"d","c",11120,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BW"
"416",416,"d","a",1710,NA,NA,0,NA,NA,"","SN"
"417",417,"c","c",3100,5,2010,0,NA,NA,"","BEHBHHNISH"
"418",418,"a","c",23620,11,2013,0,NA,NA,"","SN"
"419",419,"a","a",290,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST"
"420",420,"a","a",16680,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"421",421,"d","c",16350,7,2005,1,31,2013,"Jan,Apr,Jul,Oct","BY"
"422",422,"a","a",230,7,2004,1,10,2014,"Jan,Apr,Jul,Oct","BY"
"423",423,"a","c",250,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"424",424,"a","c",15710,2,2013,1,37,2009,"Jan,Apr,Jul,Oct","ST"
"425",425,"d","a",5070,NA,NA,1,45,2009,"Feb,May,Aug,Nov","HE"
"426",426,"d","a",24770,10,2011,1,10,2014,"Mar,Jun,Sept,Dec","BY"
"427",427,"a","c",2180,NA,NA,0,NA,NA,"","BEHBHHNISH"
"428",428,"d","c",2140,7,2013,0,NA,NA,"","HE"
"429",429,"a","c",20620,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"430",430,"c","c",31830,3,2010,0,NA,NA,"","BEHBHHNISH"
"431",431,"a","a",4140,9,2012,0,NA,NA,"","BEHBHHNISH"
"432",432,"a","c",1510,9,2013,0,NA,NA,"","BEHBHHNISH"
"433",433,"a","a",870,3,2006,0,NA,NA,"","BEHBHHNISH"
"434",434,"d","a",4400,NA,NA,0,NA,NA,"","BW"
"435",435,"a","a",17650,11,2013,1,37,2009,"Jan,Apr,Jul,Oct","SN"
"436",436,"a","a",2910,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"437",437,"a","a",34050,4,2008,0,NA,NA,"","ST"
"438",438,"c","c",8980,6,2011,0,NA,NA,"","NWRP"
"439",439,"a","a",120,NA,NA,0,NA,NA,"","HE"
"440",440,"d","c",1790,7,2013,1,40,2013,"Jan,Apr,Jul,Oct","BW"
"441",441,"c","c",10740,11,2013,0,NA,NA,"","SN"
"442",442,"a","a",1010,NA,NA,0,NA,NA,"","NWRP"
"443",443,"a","c",430,NA,NA,0,NA,NA,"","BEHBHHNISH"
"444",444,"a","a",180,NA,NA,1,45,2009,"Feb,May,Aug,Nov","NWRP"
"445",445,"a","a",1900,6,2014,1,31,2013,"Jan,Apr,Jul,Oct","NWRP"
"446",446,"a","a",2480,7,1990,0,NA,NA,"","NWRP"
"447",447,"b","b",1430,NA,NA,0,NA,NA,"","BW"
"448",448,"a","c",4590,3,2000,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"449",449,"a","c",70,6,1990,1,22,2012,"Mar,Jun,Sept,Dec","NWRP"
"450",450,"a","c",340,9,2012,1,40,2012,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"451",451,"d","c",680,NA,NA,1,22,2012,"Jan,Apr,Jul,Oct","BY"
"452",452,"a","c",300,4,2011,1,14,2011,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"453",453,"c","a",110,11,2008,0,NA,NA,"","SN"
"454",454,"a","c",360,NA,NA,1,18,2013,"Feb,May,Aug,Nov","HE"
"455",455,"a","a",200,NA,NA,0,NA,NA,"","HE"
"456",456,"a","a",460,11,2014,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"457",457,"a","a",2240,5,2013,1,10,2014,"Mar,Jun,Sept,Dec","NWRP"
"458",458,"a","c",3170,4,2014,0,NA,NA,"","BEHBHHNISH"
"459",459,"d","a",710,3,2012,1,1,2012,"Jan,Apr,Jul,Oct","NWRP"
"460",460,"a","c",140,NA,NA,0,NA,NA,"","NWRP"
"461",461,"d","a",4060,8,2005,0,NA,NA,"","NWRP"
"462",462,"d","c",5350,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct","BY"
"463",463,"a","c",600,11,1999,1,10,2013,"Jan,Apr,Jul,Oct","BW"
"464",464,"a","a",390,6,2009,0,NA,NA,"","BEHBHHNISH"
"465",465,"a","a",16180,7,2003,1,14,2011,"Jan,Apr,Jul,Oct","HE"
"466",466,"d","c",22330,NA,NA,1,5,2010,"Feb,May,Aug,Nov","NWRP"
"467",467,"c","c",140,9,2012,0,NA,NA,"","BEHBHHNISH"
"468",468,"d","a",20930,NA,NA,0,NA,NA,"","SN"
"469",469,"d","c",3840,10,2008,1,39,2010,"Feb,May,Aug,Nov","BY"
"470",470,"a","a",250,NA,NA,0,NA,NA,"","NWRP"
"471",471,"a","a",990,2,2010,0,NA,NA,"","BEHBHHNISH"
"472",472,"c","a",21770,7,2015,0,NA,NA,"","BY"
"473",473,"c","c",450,NA,NA,1,5,2013,"Feb,May,Aug,Nov","BW"
"474",474,"d","c",5870,4,2014,0,NA,NA,"","HE"
"475",475,"a","c",5020,5,2006,1,18,2014,"Feb,May,Aug,Nov","NWRP"
"476",476,"c","c",330,11,2008,1,5,2013,"Feb,May,Aug,Nov","NWRP"
"477",477,"d","c",1970,7,2009,1,45,2014,"Feb,May,Aug,Nov","HE"
"478",478,"a","a",480,12,2005,0,NA,NA,"","NWRP"
"479",479,"d","c",4610,6,2010,1,18,2010,"Feb,May,Aug,Nov","BEHBHHNISH"
"480",480,"c","c",460,NA,NA,0,NA,NA,"","NWRP"
"481",481,"d","c",15720,3,2010,0,NA,NA,"","BEHBHHNISH"
"482",482,"a","a",4150,5,2001,0,NA,NA,"","NWRP"
"483",483,"d","a",510,7,2014,1,23,2015,"Mar,Jun,Sept,Dec","BY"
"484",484,"a","c",460,11,2012,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"485",485,"d","c",5900,NA,NA,0,NA,NA,"","NWRP"
"486",486,"a","a",1170,4,2011,1,22,2012,"Feb,May,Aug,Nov","NWRP"
"487",487,"a","a",4300,3,2009,1,27,2013,"Jan,Apr,Jul,Oct","NWRP"
"488",488,"a","c",2140,8,2012,0,NA,NA,"","NWRP"
"489",489,"a","a",220,2,2002,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"490",490,"d","c",7660,9,2010,0,NA,NA,"","BW"
"491",491,"d","c",5740,4,2007,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"492",492,"a","a",7680,3,2006,0,NA,NA,"","BEHBHHNISH"
"493",493,"d","c",20930,11,1999,0,NA,NA,"","BY"
"494",494,"a","a",310,5,2015,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"495",495,"d","c",520,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"496",496,"d","c",1940,3,2012,0,NA,NA,"","BEHBHHNISH"
"497",497,"a","a",810,5,2013,0,NA,NA,"","BEHBHHNISH"
"498",498,"d","c",2870,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"499",499,"a","a",180,NA,NA,1,5,2013,"Jan,Apr,Jul,Oct","HE"
"500",500,"a","c",130,NA,NA,1,27,2013,"Feb,May,Aug,Nov","NWRP"
"501",501,"a","a",1650,10,2000,0,NA,NA,"","NWRP"
"502",502,"a","a",8080,12,2002,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"503",503,"a","c",3270,NA,NA,0,NA,NA,"","BW"
"504",504,"d","c",4880,8,2010,1,18,2014,"Jan,Apr,Jul,Oct","NWRP"
"505",505,"a","c",22490,NA,NA,0,NA,NA,"","HE"
"506",506,"a","a",3440,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"507",507,"c","a",430,4,2003,0,NA,NA,"","NWRP"
"508",508,"a","a",9580,5,2007,1,45,2014,"Feb,May,Aug,Nov","HE"
"509",509,"a","c",13190,NA,NA,1,45,2013,"Feb,May,Aug,Nov","BEHBHHNISH"
"510",510,"a","a",1310,6,1990,1,22,2012,"Mar,Jun,Sept,Dec","NWRP"
"511",511,"a","c",4700,9,2002,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"512",512,"a","c",540,6,2003,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"513",513,"d","c",6300,10,2013,0,NA,NA,"","BY"
"514",514,"a","a",7520,10,2014,0,NA,NA,"","BEHBHHNISH"
"515",515,"a","a",1840,3,2006,0,NA,NA,"","ST"
"516",516,"a","c",70,7,2005,1,13,2010,"Jan,Apr,Jul,Oct","BY"
"517",517,"a","c",610,12,2003,1,36,2013,"Mar,Jun,Sept,Dec","NWRP"
"518",518,"c","a",450,6,2011,1,48,2012,"Mar,Jun,Sept,Dec","NWRP"
"519",519,"d","c",18640,9,2013,1,10,2014,"Mar,Jun,Sept,Dec","BW"
"520",520,"a","c",7180,11,2012,0,NA,NA,"","NWRP"
"521",521,"a","a",1070,12,2006,1,13,2010,"Jan,Apr,Jul,Oct","NWRP"
"522",522,"c","a",1010,9,2012,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"523",523,"a","c",2070,2,2008,1,39,2010,"Jan,Apr,Jul,Oct","BY"
"524",524,"a","a",2040,11,2008,0,NA,NA,"","SN"
"525",525,"c","a",2410,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"526",526,"a","a",2850,7,2014,0,NA,NA,"","BEHBHHNISH"
"527",527,"c","a",170,NA,NA,1,35,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"528",528,"a","c",2200,12,2010,1,22,2012,"Feb,May,Aug,Nov","BY"
"529",529,"c","a",2870,7,2015,1,13,2010,"Jan,Apr,Jul,Oct","SN"
"530",530,"a","c",6270,2,2005,0,NA,NA,"","SN"
"531",531,"d","a",17930,NA,NA,0,NA,NA,"","BY"
"532",532,"c","a",1200,9,2005,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"533",533,"c","c",620,9,2009,0,NA,NA,"","BEHBHHNISH"
"534",534,"a","a",1700,9,2009,0,NA,NA,"","BEHBHHNISH"
"535",535,"c","c",4180,9,2012,0,NA,NA,"","BEHBHHNISH"
"536",536,"a","a",3020,2,2010,0,NA,NA,"","BEHBHHNISH"
"537",537,"a","a",19370,4,2002,0,NA,NA,"","SN"
"538",538,"d","a",590,5,2001,0,NA,NA,"","NWRP"
"539",539,"a","a",3000,2,2010,0,NA,NA,"","BEHBHHNISH"
"540",540,"d","c",10800,NA,NA,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"541",541,"d","c",6970,12,2005,1,22,2011,"Jan,Apr,Jul,Oct","BY"
"542",542,"a","a",10690,10,2005,0,NA,NA,"","ST"
"543",543,"a","a",70,NA,NA,0,NA,NA,"","NWRP"
"544",544,"a","c",10570,7,2013,1,9,2011,"Jan,Apr,Jul,Oct","BY"
"545",545,"a","a",1200,10,2014,1,6,2015,"Mar,Jun,Sept,Dec","ST"
"546",546,"c","c",1390,12,2004,0,NA,NA,"","ST"
"547",547,"a","c",6250,NA,NA,0,NA,NA,"","BEHBHHNISH"
"548",548,"a","a",1850,12,2014,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"549",549,"d","c",9230,4,2004,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"550",550,"a","c",11680,9,2011,1,31,2013,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"551",551,"a","a",590,1,1900,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"552",552,"d","a",410,4,2009,1,13,2010,"Jan,Apr,Jul,Oct","HE"
"553",553,"a","a",2260,11,2007,0,NA,NA,"","BEHBHHNISH"
"554",554,"a","a",5290,11,2012,1,5,2013,"Feb,May,Aug,Nov","NWRP"
"555",555,"a","a",4740,7,2008,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"556",556,"d","c",32330,3,2014,0,NA,NA,"","SN"
"557",557,"d","c",1110,NA,NA,1,40,2012,"Jan,Apr,Jul,Oct","SN"
"558",558,"a","a",2090,10,2012,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"559",559,"a","a",3510,11,2006,1,5,2013,"Feb,May,Aug,Nov","ST"
"560",560,"a","a",1450,7,2014,0,NA,NA,"","BEHBHHNISH"
"561",561,"c","c",490,5,2007,1,13,2010,"Jan,Apr,Jul,Oct","BW"
"562",562,"a","c",1520,NA,NA,0,NA,NA,"","NWRP"
"563",563,"d","c",420,6,2014,0,NA,NA,"","SN"
"564",564,"a","a",200,NA,NA,0,NA,NA,"","NWRP"
"565",565,"a","a",130,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","BY"
"566",566,"b","b",860,10,1999,0,NA,NA,"","NWRP"
"567",567,"b","b",3640,NA,NA,1,10,2013,"Jan,Apr,Jul,Oct","HE"
"568",568,"a","a",2030,9,2012,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"569",569,"a","a",650,10,2006,0,NA,NA,"","NWRP"
"570",570,"a","c",6690,8,2011,0,NA,NA,"","BEHBHHNISH"
"571",571,"c","a",440,4,2002,0,NA,NA,"","SN"
"572",572,"d","c",5980,10,2005,0,NA,NA,"","NWRP"
"573",573,"a","c",6920,9,2011,0,NA,NA,"","NWRP"
"574",574,"a","a",460,3,2014,1,13,2010,"Jan,Apr,Jul,Oct","BW"
"575",575,"a","c",1060,12,2005,0,NA,NA,"","BEHBHHNISH"
"576",576,"d","a",5220,5,2009,0,NA,NA,"","NWRP"
"577",577,"d","c",10690,9,2007,1,5,2013,"Jan,Apr,Jul,Oct","BY"
"578",578,"a","a",15270,NA,NA,1,10,2014,"Jan,Apr,Jul,Oct","NWRP"
"579",579,"a","a",3620,2,2013,0,NA,NA,"","NWRP"
"580",580,"c","c",1650,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"581",581,"d","c",12480,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","ST"
"582",582,"d","a",800,NA,NA,1,14,2011,"Mar,Jun,Sept,Dec","BY"
"583",583,"a","a",9670,NA,NA,0,NA,NA,"","BY"
"584",584,"c","a",240,1,2015,0,NA,NA,"","BEHBHHNISH"
"585",585,"a","c",250,1,2005,0,NA,NA,"","BEHBHHNISH"
"586",586,"c","a",6930,9,2006,0,NA,NA,"","SN"
"587",587,"a","a",44320,8,2008,0,NA,NA,"","ST"
"588",588,"a","c",650,7,1990,0,NA,NA,"","NWRP"
"589",589,"d","a",330,3,2008,1,1,2012,"Mar,Jun,Sept,Dec","NWRP"
"590",590,"a","c",2890,4,2014,0,NA,NA,"","BEHBHHNISH"
"591",591,"a","c",40540,2,2002,0,NA,NA,"","SN"
"592",592,"a","c",2880,NA,NA,0,NA,NA,"","BEHBHHNISH"
"593",593,"d","a",150,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"594",594,"c","a",920,7,2015,0,NA,NA,"","NWRP"
"595",595,"a","c",350,NA,NA,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"596",596,"d","a",7860,11,2005,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"597",597,"a","c",75860,NA,NA,0,NA,NA,"","BEHBHHNISH"
"598",598,"c","c",490,11,2002,0,NA,NA,"","ST"
"599",599,"a","c",5460,NA,NA,1,14,2011,"Jan,Apr,Jul,Oct","NWRP"
"600",600,"a","a",630,2,2015,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"601",601,"d","a",1070,NA,NA,0,NA,NA,"","BEHBHHNISH"
"602",602,"d","c",4380,NA,NA,0,NA,NA,"","NWRP"
"603",603,"a","a",340,10,2000,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"604",604,"d","c",8540,NA,NA,0,NA,NA,"","NWRP"
"605",605,"a","c",350,NA,NA,0,NA,NA,"","HE"
"606",606,"c","a",14810,NA,NA,1,14,2011,"Mar,Jun,Sept,Dec","BBMVTH"
"607",607,"d","a",19700,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"608",608,"a","a",12610,3,2013,1,14,2011,"Jan,Apr,Jul,Oct","BY"
"609",609,"d","c",1200,11,2007,0,NA,NA,"","BY"
"610",610,"d","a",48330,4,2013,0,NA,NA,"","BEHBHHNISH"
"611",611,"a","c",30,9,2010,0,NA,NA,"","BEHBHHNISH"
"612",612,"a","a",40,8,2015,0,NA,NA,"","HE"
"613",613,"a","c",12430,10,2004,0,NA,NA,"","NWRP"
"614",614,"c","a",470,3,2007,1,1,2012,"Jan,Apr,Jul,Oct","BW"
"615",615,"c","a",900,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","HE"
"616",616,"d","a",2110,3,2006,0,NA,NA,"","NWRP"
"617",617,"a","a",5890,10,2003,1,14,2011,"Feb,May,Aug,Nov","BY"
"618",618,"c","c",1200,NA,NA,0,NA,NA,"","BEHBHHNISH"
"619",619,"a","a",2200,12,2009,1,13,2010,"Jan,Apr,Jul,Oct","BY"
"620",620,"d","a",5300,NA,NA,1,45,2009,"Feb,May,Aug,Nov","BY"
"621",621,"a","a",150,3,2011,1,40,2014,"Jan,Apr,Jul,Oct","BY"
"622",622,"d","c",310,NA,NA,1,40,2011,"Jan,Apr,Jul,Oct","NWRP"
"623",623,"d","c",3460,10,2013,1,10,2014,"Jan,Apr,Jul,Oct","SN"
"624",624,"a","a",6420,4,2011,1,1,2012,"Jan,Apr,Jul,Oct","NWRP"
"625",625,"a","a",180,3,2014,0,NA,NA,"","BEHBHHNISH"
"626",626,"c","c",5030,8,2011,0,NA,NA,"","BEHBHHNISH"
"627",627,"a","c",30360,9,2013,0,NA,NA,"","BEHBHHNISH"
"628",628,"d","a",190,9,2012,1,40,2012,"Feb,May,Aug,Nov","NWRP"
"629",629,"c","c",710,9,2005,0,NA,NA,"","BEHBHHNISH"
"630",630,"a","c",2030,8,2000,0,NA,NA,"","NWRP"
"631",631,"d","a",17080,7,2012,1,31,2013,"Jan,Apr,Jul,Oct","BY"
"632",632,"a","c",3300,11,2010,0,NA,NA,"","BEHBHHNISH"
"633",633,"a","a",660,1,2007,0,NA,NA,"","NWRP"
"634",634,"a","a",7780,11,2006,0,NA,NA,"","NWRP"
"635",635,"d","a",4370,NA,NA,0,NA,NA,"","NWRP"
"636",636,"c","a",720,10,2004,1,13,2010,"Jan,Apr,Jul,Oct","BY"
"637",637,"d","c",4040,8,2008,1,18,2013,"Mar,Jun,Sept,Dec","NWRP"
"638",638,"d","c",70,11,2010,1,5,2013,"Feb,May,Aug,Nov","HE"
"639",639,"d","c",8990,11,2009,1,35,2010,"Mar,Jun,Sept,Dec","BY"
"640",640,"a","c",1070,NA,NA,1,13,2010,"Jan,Apr,Jul,Oct","BEHBHHNISH"
"641",641,"a","c",760,9,2014,0,NA,NA,"","BY"
"642",642,"a","c",30030,11,2010,0,NA,NA,"","BEHBHHNISH"
"643",643,"a","a",4870,9,2007,1,45,2009,"Jan,Apr,Jul,Oct","BY"
"644",644,"c","a",3380,4,2013,0,NA,NA,"","BEHBHHNISH"
"645",645,"d","c",7930,NA,NA,1,1,2013,"Jan,Apr,Jul,Oct","BW"
"646",646,"a","a",350,12,2012,0,NA,NA,"","BEHBHHNISH"
"647",647,"a","a",17500,8,2008,1,37,2009,"Mar,Jun,Sept,Dec","NWRP"
"648",648,"c","a",290,9,2006,0,NA,NA,"","BEHBHHNISH"
"649",649,"a","a",3450,9,2011,0,NA,NA,"","NWRP"
"650",650,"d","c",1140,11,2014,0,NA,NA,"","BEHBHHNISH"
"651",651,"d","c",6360,NA,NA,1,40,2012,"Mar,Jun,Sept,Dec","BEHBHHNISH"
"652",652,"a","a",970,3,2013,1,31,2013,"Feb,May,Aug,Nov","NWRP"
"653",653,"a","a",1710,7,2015,0,NA,NA,"","BEHBHHNISH"
"654",654,"a","c",3720,2,2010,0,NA,NA,"","BEHBHHNISH"
"655",655,"d","c",6970,9,2011,0,NA,NA,"","BEHBHHNISH"
"656",656,"a","a",1600,6,2006,1,45,2009,"Feb,May,Aug,Nov","BY"
"657",657,"a","a",1590,3,2006,0,NA,NA,"","ST"
"658",658,"a","a",2330,10,2014,1,18,2011,"Feb,May,Aug,Nov","NWRP"
"659",659,"d","a",4880,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","NWRP"
"660",660,"d","c",2190,9,2003,0,NA,NA,"","BY"
"661",661,"a","a",150,9,2008,1,1,2012,"Mar,Jun,Sept,Dec","NWRP"
"662",662,"a","c",13080,NA,NA,0,NA,NA,"","BEHBHHNISH"
"663",663,"a","c",35280,NA,NA,0,NA,NA,"","BEHBHHNISH"
"664",664,"d","c",2740,7,2014,1,13,2010,"Jan,Apr,Jul,Oct","BY"
"665",665,"a","a",2060,9,2009,0,NA,NA,"","BEHBHHNISH"
"666",666,"a","a",190,7,2014,0,NA,NA,"","HE"
"667",667,"a","c",16210,11,2010,0,NA,NA,"","BEHBHHNISH"
"668",668,"a","c",1590,NA,NA,1,37,2009,"Jan,Apr,Jul,Oct","HE"
"669",669,"a","c",38710,4,2013,0,NA,NA,"","BEHBHHNISH"
"670",670,"d","c",50,6,2015,0,NA,NA,"","HE"
"671",671,"d","a",7830,9,2014,1,10,2014,"Mar,Jun,Sept,Dec","BY"
"672",672,"d","c",6890,NA,NA,1,48,2011,"Mar,Jun,Sept,Dec","BBMVTH"
